doc_id,source_type,supplier,raw_item_name,spec,unit,prev_unit_price,new_unit_price,effective_date
DOC-000070,PDF,미래식자재(예시),종이보울500,500EA/BOX,BOX,57500,57600,2025-09-22
DOC-000071,XLSX,동해상사(예시),냉동돈전지,10kg/BOX,BOX,79500,83300,
DOC-000072,PDF,온누리농산(예시),밀또띠아10인치,12매×10PK/BOX,BOX,36500,38800,2025-05-26
DOC-000073,XLSX,가온푸드(예시),로메인쉬레드,1kg/PK,PK,37000,38200,2025-12-01
DOC-000074,수기,정성F&B(예시),자스민쌀10K,10kg/PO,PO,34500,37400,2026-08-13
DOC-000075,XLSX,한빛유통(예시),종이보울500,500EA/BOX,BOX,50000,52700,2026-11-25
DOC-000076,PDF,가온푸드(예시),토마토살사S/O,기존 1kg / 변경 4단,KG/단,56000,60700,2026-11-11
DOC-000077,PDF,정성F&B(예시),종이보울500,500EA/BOX,BOX,45000,48100,2025-01-23
DOC-000078,PDF,가온푸드(예시),자스민쌀10K,10kg/PO,PO,34500,36400,2026-01-02
DOC-000079,XLSX,정성F&B(예시),투명리드500,500EA/BOX,BOX,50500,58800,2025-02-18
DOC-000080,IMAGE,미래식자재(예시),나초칩454G,454g×12PK/BOX,BOX,67000,78200,2025-11-07
DOC-000081,XLSX,온누리농산(예시),밀또띠아10인치,12매×10PK/BOX,BOX,39500,40900,2025-01-21
DOC-000082,PDF,가온푸드(예시),냉감튀2K,2kg×6PK/BOX,BOX,68000,71500,2025-07-26
DOC-000083,수기,대양수산(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,56000,60100,2026-05-02
DOC-000084,PDF,가온푸드(예시),모짜렐라2K,2kg×4PK/BOX,BOX,90000,109400,2026-09-08
DOC-000085,수기,바다원(예시),냉동오징어2K,2kg×5PK/BOX,BOX,121500,149700,2025-06-10
DOC-000086,XLSX,동해상사(예시),소불고기감2kg,기존 1kg / 변경 4단,KG/단,61500,65800,2025-10-25
DOC-000087,IMAGE,가온푸드(예시),토마토살사S/O,기존 1kg / 변경 4단,KG/단,56000,60700,2026-11-11
DOC-000088,IMAGE,한빛유통(예시),고수1kg,1kg/단,단,7000,7600,2026-07-17
DOC-000089,수기,한결유통(예시),자스민쌀10K,10kg/PO,PO,31500,32900,2026-08-04
DOC-000090,PDF,한결유통(예시),자스민쌀10K,10kg/PO,PO,43500,46700,2026-12-28
DOC-000091,PDF,대양수산(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,47500,57000,2025-08-31
DOC-000092,XLSX,한결유통(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,66000,83000,2026-02-05
DOC-000093,PDF,새봄식품(예시),아보카도30입,30EA/BOX,BOX,19500,20100,2025-06-29
DOC-000094,XLSX,한결유통(예시),토마토살사S/O,4kg/PK,PK,54500,58200,2025-01-05
DOC-000095,수기,한빛유통(예시),슈레드치즈2.5K,2.5kg×4PK/BOX,BOX,49500,50900,2026-06-14
DOC-000096,XLSX,한빛유통(예시),블랙빈2.5K,2.5kg×6CAN/BOX,BOX,51500,54300,2025-12-02
DOC-000097,PDF,정성F&B(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,45500,47400,2025-12-14
DOC-000098,PDF,한빛유통(예시),블랙빈2.5K,2.5kg×6CAN/BOX,BOX,53000,66500,2026-01-10
DOC-000099,수기,한결유통(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,64000,66700,2025-04-19
DOC-000100,PDF,동해상사(예시),냉동새우살900,기존 10kg / 변경 9kg,BOX,131500,136000,2026-06-15
DOC-000101,IMAGE,대양수산(예시),냉동새우살900,900g×10PK/BOX,BOX,81000,84700,2025-03-05
DOC-000102,수기,한빛유통(예시),소불고기감2kg,2kg×4PK/BOX,BOX,107000,126100,2025-02-19
DOC-000103,PDF,온누리농산(예시),냉동돈전지,10kg/BOX,BOX,93500,93600,2026-06-23
DOC-000104,XLSX,바다원(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,60500,71500,2025-10-05
DOC-000105,IMAGE,한빛유통(예시),토마토살사S/O,기존 10kg / 변경 9kg,PK,72000,77400,2026-09-21
DOC-000106,수기,한빛유통(예시),로메인쉬레드,1kg/PK,PK,13000,14000,2026-08-27
DOC-000107,IMAGE,대양수산(예시),종이보울500,500EA/BOX,BOX,50000,51900,2026-10-12
DOC-000108,XLSX,새봄식품(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,78500,79400,2025-05-24
DOC-000109,IMAGE,동해상사(예시),블랙빈2.5K,2.5kg×6CAN/BOX,BOX,55000,56800,2026-01-08
DOC-000110,IMAGE,온누리농산(예시),냉감튀2K,2kg×6PK/BOX,BOX,67000,67600,2026-12-01
DOC-000111,PDF,가온푸드(예시),냉동오징어2K,2kg×5PK/BOX,BOX,122000,131300,2025-04-23
DOC-000112,PDF,대양수산(예시),냉동오징어2K,2kg×5PK/BOX,BOX,86000,85800,2026-09-03
DOC-000113,IMAGE,동해상사(예시),소불고기감2kg,2kg×4PK/BOX,BOX,96500,100500,2025-06-14
DOC-000114,XLSX,대양수산(예시),방울토마토2kg,2kg/PK,PK,34000,33500,2025-08-07
DOC-000115,수기,가온푸드(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,44500,52500,2025-11-28
DOC-000116,IMAGE,바다원(예시),나초칩454G,454g×12PK/BOX,BOX,48500,49500,2025-12-26
DOC-000117,XLSX,가온푸드(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,44000,51000,2026-09-14
DOC-000118,XLSX,한빛유통(예시),슈레드치즈2.5K,기존 1kg / 변경 4단,KG/단,52500,54200,2026-09-06
DOC-000119,PDF,한결유통(예시),자스민쌀10K,10kg/PO,PO,55500,59000,2026-04-20
DOC-000120,XLSX,정성F&B(예시),블랙빈2.5K,2.5kg×6CAN/BOX,BOX,50500,52900,2025-11-25
DOC-000121,수기,온누리농산(예시),종이보울500,500EA/BOX,BOX,48500,50100,2025-07-20
DOC-000122,PDF,바다원(예시),자스민쌀10K,10kg/PO,PO,56000,56600,2026-12-11
DOC-000123,수기,대양수산(예시),로메인쉬레드,1kg/PK,PK,14500,15500,2026-07-06
DOC-000124,PDF,가온푸드(예시),밀또띠아10인치,12매×10PK/BOX,BOX,57000,60400,2025-09-25
DOC-000125,IMAGE,바다원(예시),나초칩454G,454g×12PK/BOX,BOX,68000,72000,2025-11-14
DOC-000126,PDF,동해상사(예시),로메인쉬레드,1kg/PK,PK,33500,33500,2025-08-05
DOC-000127,PDF,그린팜(예시),고수1kg,1kg/단,단,30000,34000,2026-12-19
DOC-000128,PDF,온누리농산(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,73000,77900,2025-10-23
DOC-000129,PDF,정성F&B(예시),나초칩454G,454g×12PK/BOX,BOX,43500,45700,2025-11-09
DOC-000130,IMAGE,푸른포장(예시),블랙빈2.5K,2.5kg×6CAN/BOX,BOX,41000,43400,2026-09-29
DOC-000131,PDF,한결유통(예시),방울토마토2kg,2kg/PK,PK,6500,7000,2026-09-04
DOC-000132,IMAGE,대양수산(예시),로메인쉬레드,1kg/PK,PK,29500,30400,
DOC-000133,PDF,대양수산(예시),냉동새우살900,900g×10PK/BOX,BOX,149000,159400,2025-01-11
DOC-000134,PDF,미래식자재(예시),나초칩454G,454g×12PK/BOX,BOX,47000,50200,2026-09-25
DOC-000135,IMAGE,바다원(예시),허브염지닭정육,2kg×6PK/BOX,BOX,112000,120000,2026-06-09
DOC-000136,IMAGE,온누리농산(예시),로메인쉬레드,1kg/PK,PK,34000,33900,2026-11-05
DOC-000137,XLSX,푸른포장(예시),자스민쌀10K,10kg/PO,PO,53000,56600,2025-10-18
DOC-000138,XLSX,새봄식품(예시),고수1kg,1kg/단,단,18500,19100,2025-06-07
DOC-000139,XLSX,대양수산(예시),방울토마토2kg,2kg/PK,PK,33000,36300,2025-12-31
DOC-000140,PDF,정성F&B(예시),밀또띠아10인치,12매×10PK/BOX,BOX,54500,55500,2025-05-05
DOC-000141,XLSX,한빛유통(예시),나초칩454G,454g×12PK/BOX,BOX,68000,82800,2025-05-26
DOC-000142,PDF,온누리농산(예시),모짜렐라2K,2kg×4PK/BOX,BOX,50000,54300,2026-06-05
DOC-000143,XLSX,온누리농산(예시),소불고기감2kg,2kg×4PK/BOX,BOX,105500,109400,2026-11-10
DOC-000144,XLSX,정성F&B(예시),허브염지닭정육,2kg×6PK/BOX,BOX,80500,99600,2025-07-25
DOC-000145,PDF,대양수산(예시),슈레드치즈2.5K,2.5kg×4PK/BOX,BOX,57500,58800,2025-05-26
DOC-000146,PDF,한결유통(예시),자스민쌀10K,10kg/PO,PO,31000,32500,2026-09-28
DOC-000147,IMAGE,새봄식품(예시),냉동새우살900,900g×10PK/BOX,BOX,154500,166900,2026-02-14
DOC-000148,PDF,한빛유통(예시),슈레드치즈2.5K,2.5kg×4PK/BOX,BOX,43000,46700,2026-05-05
DOC-000149,PDF,정성F&B(예시),토마토살사S/O,4kg/PK,PK,73000,77600,2026-03-13
DOC-000150,XLSX,새봄식품(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,49000,50600,2026-06-08
DOC-000151,PDF,가온푸드(예시),할라피뇨슬라이스,기존 10kg / 변경 9kg,BOX,36000,36400,2025-07-01
DOC-000152,IMAGE,온누리농산(예시),모짜렐라2K,2kg×4PK/BOX,BOX,62000,64100,2025-03-05
DOC-000153,PDF,한빛유통(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,63000,63900,2025-12-07
DOC-000154,PDF,한빛유통(예시),자스민쌀10K,10kg/PO,PO,41000,42000,2026-08-23
DOC-000155,PDF,새봄식품(예시),사워크림1K,1kg×6PK/BOX,BOX,63500,68200,2026-08-29
DOC-000156,PDF,미래식자재(예시),소불고기감2kg,2kg×4PK/BOX,BOX,95500,100200,2026-09-07
DOC-000157,XLSX,미래식자재(예시),블랙빈2.5K,2.5kg×6CAN/BOX,BOX,53500,56400,2026-01-18
DOC-000158,PDF,가온푸드(예시),블랙빈2.5K,2.5kg×6CAN/BOX,BOX,34000,37100,2025-07-03
DOC-000159,수기,온누리농산(예시),자스민쌀10K,10kg/PO,PO,32500,38600,2026-11-30
DOC-000160,수기,한빛유통(예시),슈레드치즈2.5K,2.5kg×4PK/BOX,BOX,56500,58600,2026-11-16
DOC-000161,PDF,가온푸드(예시),블랙빈2.5K,2.5kg×6CAN/BOX,BOX,34500,37800,2026-06-08
DOC-000162,PDF,정성F&B(예시),투명리드500,기존 1kg / 변경 4단,KG/단,41000,41400,2025-11-15
DOC-000163,PDF,온누리농산(예시),모짜렐라2K,2kg×4PK/BOX,BOX,104500,107300,2026-10-28
DOC-000164,PDF,한빛유통(예시),나초칩454G,454g×12PK/BOX,BOX,66500,66900,2025-08-12
DOC-000165,PDF,푸른포장(예시),아보카도30입,기존 1kg / 변경 4단,KG/단,27000,27600,2026-11-19
DOC-000166,PDF,새봄식품(예시),밀또띠아10인치,12매×10PK/BOX,BOX,66500,70900,2026-06-16
DOC-000167,XLSX,한빛유통(예시),투명리드500,500EA/BOX,BOX,42500,45500,2026-08-09
DOC-000168,IMAGE,새봄식품(예시),냉동돈전지,10kg/BOX,BOX,56500,59800,2026-06-10
DOC-000169,수기,한빛유통(예시),고수1kg,1kg/단,단,18500,19600,2025-03-31
DOC-000170,PDF,한빛유통(예시),냉동새우살900,900g×10PK/BOX,BOX,150500,153100,2025-03-17
DOC-000171,PDF,온누리농산(예시),라임30과,30EA/BOX,BOX,7000,7100,2025-04-01
DOC-000172,XLSX,가온푸드(예시),종이보울500,500EA/BOX,BOX,57000,57200,2026-11-29
DOC-000173,PDF,그린팜(예시),나초칩454G,454g×12PK/BOX,BOX,48500,55600,2026-03-26
DOC-000174,수기,정성F&B(예시),투명리드500,500EA/BOX,BOX,53500,58200,2026-11-03
DOC-000175,IMAGE,새봄식품(예시),블랙빈2.5K,2.5kg×6CAN/BOX,BOX,46000,47800,2025-07-17
DOC-000176,XLSX,바다원(예시),냉동새우살900,900g×10PK/BOX,BOX,87000,88300,2026-01-23
DOC-000177,XLSX,가온푸드(예시),나초칩454G,454g×12PK/BOX,BOX,59500,68500,2025-10-09
DOC-000178,XLSX,정성F&B(예시),토마토살사S/O,4kg/PK,PK,36500,36800,2026-06-11
DOC-000179,XLSX,가온푸드(예시),허브염지닭정육,2kg×6PK/BOX,BOX,116000,119600,2025-05-07
DOC-000180,PDF,바다원(예시),투명리드500,500EA/BOX,BOX,48000,52500,2026-07-26
DOC-000181,XLSX,대양수산(예시),슈레드치즈2.5K,2.5kg×4PK/BOX,BOX,85000,88800,2026-07-11
DOC-000182,PDF,그린팜(예시),나초칩454G,454g×12PK/BOX,BOX,30500,36900,2026-05-01
DOC-000183,PDF,온누리농산(예시),냉동새우살900,900g×10PK/BOX,BOX,91000,92900,2026-09-16
DOC-000184,XLSX,정성F&B(예시),로메인쉬레드,1kg/PK,PK,34000,36500,2026-12-30
DOC-000185,XLSX,온누리농산(예시),허브염지닭정육,2kg×6PK/BOX,BOX,54000,55800,2025-04-07
DOC-000186,IMAGE,새봄식품(예시),블랙빈2.5K,2.5kg×6CAN/BOX,BOX,31500,32600,2026-08-31
DOC-000187,PDF,가온푸드(예시),아보카도30입,30EA/BOX,BOX,9000,9500,2026-01-13
DOC-000188,PDF,가온푸드(예시),고수1kg,1kg/단,단,12000,12400,2026-09-03
DOC-000189,IMAGE,대양수산(예시),슈레드치즈2.5K,2.5kg×4PK/BOX,BOX,92500,94800,2025-10-16
DOC-000190,PDF,한빛유통(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,63500,66300,
DOC-000191,수기,그린팜(예시),자스민쌀10K,10kg/PO,PO,53500,56900,2026-07-31
DOC-000192,PDF,새봄식품(예시),냉동돈전지,10kg/BOX,BOX,103500,132700,2025-04-17
DOC-000193,IMAGE,한빛유통(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,33000,35300,2025-12-06
DOC-000194,XLSX,푸른포장(예시),냉동새우살900,900g×10PK/BOX,BOX,100000,106500,2026-06-04
DOC-000195,XLSX,정성F&B(예시),종이보울500,500EA/BOX,BOX,58000,64400,2026-06-18
DOC-000196,XLSX,동해상사(예시),나초칩454G,454g×12PK/BOX,BOX,51500,57400,2025-02-04
DOC-000197,PDF,미래식자재(예시),나초칩454G,454g×12PK/BOX,BOX,58000,71500,2026-02-18
DOC-000198,IMAGE,정성F&B(예시),허브염지닭정육,2kg×6PK/BOX,BOX,118500,122900,2025-03-05
DOC-000199,PDF,가온푸드(예시),아보카도30입,30EA/BOX,BOX,37500,37600,2026-12-16
DOC-000200,XLSX,한빛유통(예시),아보카도30입,30EA/BOX,BOX,37500,38500,2026-01-12
DOC-000201,XLSX,새봄식품(예시),모짜렐라2K,2kg×4PK/BOX,BOX,68500,72500,2025-11-03
DOC-000202,IMAGE,대양수산(예시),종이보울500,500EA/BOX,BOX,43000,48900,2025-09-25
DOC-000203,수기,그린팜(예시),방울토마토2kg,2kg/PK,PK,8500,9000,2026-12-22
DOC-000204,XLSX,온누리농산(예시),밀또띠아10인치,12매×10PK/BOX,BOX,32000,33100,2026-06-25
DOC-000205,PDF,새봄식품(예시),밀또띠아10인치,12매×10PK/BOX,BOX,51500,53200,2025-10-31
DOC-000206,XLSX,온누리농산(예시),냉동돈전지,기존 10kg / 변경 9kg,BOX,66000,71400,2026-06-16
DOC-000207,수기,정성F&B(예시),냉동새우살900,900g×10PK/BOX,BOX,108000,114100,2025-05-14
DOC-000208,PDF,그린팜(예시),자스민쌀10K,10kg/PO,PO,37500,40800,2025-10-19
DOC-000209,PDF,정성F&B(예시),스모크BBQ소스,기존 1kg / 변경 4단,KG/단,53500,54800,2026-07-25
DOC-000210,XLSX,한빛유통(예시),아보카도30입,30EA/BOX,BOX,37500,45300,2026-08-14
DOC-000211,수기,한빛유통(예시),냉동돈전지,10kg/BOX,BOX,66000,71400,2025-07-18
DOC-000212,PDF,온누리농산(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,34000,36600,2025-12-27
DOC-000213,XLSX,가온푸드(예시),자스민쌀10K,10kg/PO,PO,58500,56500,2026-02-18
DOC-000214,수기,대양수산(예시),밀또띠아10인치,12매×10PK/BOX,BOX,55500,58100,2026-09-17
DOC-000215,XLSX,바다원(예시),사워크림1K,1kg×6PK/BOX,BOX,66000,72200,2026-04-17
DOC-000216,수기,푸른포장(예시),사워크림1K,1kg×6PK/BOX,BOX,75000,93000,2026-01-17
DOC-000217,XLSX,온누리농산(예시),소불고기감2kg,2kg×4PK/BOX,BOX,57000,56600,2025-05-26
DOC-000218,XLSX,정성F&B(예시),냉동돈전지,10kg/BOX,BOX,72000,74700,2025-12-26
DOC-000219,PDF,그린팜(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,32000,33400,2025-01-26
DOC-000220,PDF,동해상사(예시),냉동돈전지,10kg/BOX,BOX,60500,74000,2026-04-21
DOC-000221,PDF,대양수산(예시),나초칩454G,454g×12PK/BOX,BOX,49000,49700,2026-12-22
DOC-000222,PDF,가온푸드(예시),냉동돈전지,10kg/BOX,BOX,56000,59100,2026-03-09
DOC-000223,PDF,정성F&B(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,46000,46000,2026-08-20
DOC-000224,PDF,정성F&B(예시),자스민쌀10K,10kg/PO,PO,48000,49000,2025-10-15
DOC-000225,IMAGE,정성F&B(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,73000,78900,2025-04-01
DOC-000226,PDF,푸른포장(예시),나초칩454G,454g×12PK/BOX,BOX,39000,38200,2025-10-10
DOC-000227,PDF,정성F&B(예시),방울토마토2kg,2kg/PK,PK,18500,19200,2026-09-12
DOC-000228,PDF,한결유통(예시),아보카도30입,30EA/BOX,BOX,15500,16200,2026-04-08
DOC-000229,PDF,바다원(예시),방울토마토2kg,2kg/PK,PK,15500,17500,2025-07-08
DOC-000230,PDF,동해상사(예시),방울토마토2kg,2kg/PK,PK,38500,45500,2026-07-15
DOC-000231,PDF,미래식자재(예시),블랙빈2.5K,2.5kg×6CAN/BOX,BOX,43000,42300,2025-06-30
DOC-000232,PDF,가온푸드(예시),아보카도30입,30EA/BOX,BOX,33500,34400,2025-07-02
DOC-000233,IMAGE,동해상사(예시),밀또띠아10인치,12매×10PK/BOX,BOX,36000,39000,2026-07-19
DOC-000234,PDF,가온푸드(예시),고수1kg,1kg/단,단,21500,23600,2025-08-12
DOC-000235,IMAGE,정성F&B(예시),사워크림1K,1kg×6PK/BOX,BOX,72500,75900,2026-07-07
DOC-000236,XLSX,대양수산(예시),냉동새우살900,900g×10PK/BOX,BOX,130000,139200,2026-12-31
DOC-000237,PDF,새봄식품(예시),허브염지닭정육,2kg×6PK/BOX,BOX,97000,100300,2026-09-10
DOC-000238,PDF,정성F&B(예시),사워크림1K,1kg×6PK/BOX,BOX,67500,76400,2026-08-12
DOC-000239,수기,대양수산(예시),허브염지닭정육,2kg×6PK/BOX,BOX,64000,65500,2025-04-10
DOC-000240,XLSX,온누리농산(예시),허브염지닭정육,2kg×6PK/BOX,BOX,116000,124400,2026-01-25
DOC-000241,PDF,대양수산(예시),종이보울500,기존 1kg / 변경 4단,KG/단,44500,45800,2026-06-30
DOC-000242,IMAGE,동해상사(예시),사워크림1K,1kg×6PK/BOX,BOX,48500,49900,2026-10-07
DOC-000243,PDF,온누리농산(예시),모짜렐라2K,2kg×4PK/BOX,BOX,78000,83900,2025-12-09
DOC-000244,XLSX,온누리농산(예시),자스민쌀10K,10kg/PO,PO,36000,36600,2025-06-07
DOC-000245,IMAGE,그린팜(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,70000,70700,2025-08-26
DOC-000246,PDF,정성F&B(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,64500,68700,2025-11-11
DOC-000247,XLSX,온누리농산(예시),라임30과,30EA/BOX,BOX,26500,31100,2026-06-21
DOC-000248,PDF,한빛유통(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,36500,37900,2025-06-12
